"method","language","message_size","message_count","warmup_count","trials","launch_count","stable_affinity","representative_metric","status","exit_code","error","average_micros","mean_average_micros","p10_average_micros","p90_average_micros","min_average_micros","max_average_micros","launch_stddev_average_micros","total_micros","min_micros","max_micros","stddev_micros","message_rate","child_ready","output"
"copy-roundtrip","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"0.018565285714285704","0.019120771428571361","0.018240542857142723","0.020508685714285654","0.018122142857142712","0.021546857142856993","0.001242101381382613","12995.699999999992","0.018","0.087","0.0016181396221385872","53863970.390206017","False","copy-roundtrip-s64-native.json"
"anon-pipe","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"13.803617571428578","14.259546142857143","13.479538228571428","15.335802571428573","13.40983371428571","15.678644","0.86206642728082528","9662532.3000000045","11.229","119.073","3.7524905508293225","72444.777235052519","False","anon-pipe-s64-native.json"
"named-pipe-byte-sync","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"10.317671428571424","10.396868914285715","9.9079893428571442","10.930173314285717","9.7123527142857178","11.145114285714284","0.47273087998763319","7222369.9999999972","7.9869999999999992","237.414","6.8693701794299056","96921.093768389081","True","named-pipe-byte-sync-s64-native.json"
"named-pipe-message-sync","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"10.332655571428573","10.233490457142857","9.6037431428571427","10.871271657142858","9.515028","11.190452571428571","0.585451670808225","7232858.9","7.922","435.62299999999993","9.3039222927138159","96780.5413707158","True","named-pipe-message-sync-s64-native.json"
"named-pipe-overlapped","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"10.161154285714291","10.198103000000001","9.413950142857141","10.995581771428572","9.3885212857142832","11.000416857142858","0.704483203841587","7112808.0000000037","8.5919999999999987","168.306","4.6639505528708662","98414.015955442577","True","named-pipe-overlapped-s64-native.json"
"tcp-loopback","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"17.965443285714287","18.864772285714288","17.551064257142855","20.683671028571432","17.499267571428568","20.957572571428571","1.4535151662122485","12575810.3","16.531","163.47400000000002","3.960863872250314","55662.417236048794","True","tcp-loopback-s64-native.json"
"shm-events","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"8.0791685714285748","8.2308551999999988","7.88072234285714","8.7151851142857151","7.8201182857142824","9.0092041428571434","0.41632060979106672","5655418.0000000019","6.022","26.361000000000004","0.59863923062293334","123775.11264419356","True","shm-events-s64-native.json"
"shm-semaphores","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"7.9371132857142879","7.9126078857142854","7.8528955714285722","7.9552769428571422","7.82850785714286","7.960502428571429","0.0484054429882941","5555979.3000000017","5.9239999999999995","19.819999999999997","0.47419789045208011","125990.39020897716","True","shm-semaphores-s64-native.json"
"shm-mailbox-spin","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"0.1109417142857142","0.11204819999999997","0.10738685714285712","0.1172039714285714","0.10603485714285714","0.11832071428571424","0.004376722681809918","77659.199999999953","0.094","0.365","0.010222113667766286","9013742.0936605111","True","shm-mailbox-spin-s64-native.json"
"shm-mailbox-hybrid","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"0.26006085714285671","0.26027794285714262","0.2588890571428572","0.26161097142857109","0.25820671428571429","0.26163571428571392","0.0012644008360821954","182042.59999999969","0.242","2.8840000000000003","0.040772242822983612","3845253.8032306782","True","shm-mailbox-hybrid-s64-native.json"
"shm-ring-spin","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"0.15085342857142797","0.1511876571428572","0.15032037142857205","0.15240865714285703","0.15009357142857208","0.15338185714285715","0.0011364937939439773","105597.3999999996","0.141","0.53699999999999992","0.014144975361576023","6628951.0915988721","True","shm-ring-spin-s64-native.json"
"shm-ring-hybrid","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"0.285128428571428","0.28527605714285675","0.28434582857142821","0.28623891428571391","0.28416714285714206","0.28625285714285692","0.00084040329774288328","199589.89999999959","0.268","0.765","0.026573948724958732","3507191.4961628886","True","shm-ring-hybrid-s64-native.json"
"shm-raw-sync-event","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"9.372896428571428","9.3815598285714277","8.6775188857142833","10.081107399999999","8.33151442857143","10.391811571428571","0.66513680557760335","6561027.5","5.64","214.2","10.142929997757836","106690.60600645249","True","shm-raw-sync-event-s64-native.json"
"shm-raw-sync-busy","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"0.1405604285714285","0.14234528571428567","0.1394563714285714","0.1464085428571428","0.13898728571428567","0.14800528571428564","0.0032880283838588086","98392.299999999945","0.119","0.882","0.022549673544403785","7114377.85273848","True","shm-raw-sync-busy-s64-native.json"
"iceoryx2-publish-subscribe-loan","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"2.0719229999999995","2.0754748857142857","2.0654057999999988","2.0872709428571432","2.0649924285714283","2.0874884285714286","0.0098758707996945468","1450346.0999999996","1.945","10.003","0.17856935411543615","482643.41869847494","True","iceoryx2-publish-subscribe-loan-s64-native.json"
"iceoryx2-request-response-loan","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"2.244355571428573","2.2521298857142855","2.2332807142857134","2.2789021999999997","2.2326844285714276","2.2956424285714281","0.023052297465102935","1571048.9000000008","2.117","11.094","0.19055679839531703","445562.1973319861","True","iceoryx2-request-response-loan-s64-native.json"
"af-unix","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"9.5455454285714243","9.608037999999997","9.4524937142857137","9.8273612285714282","9.4423311428571441","9.96765442857143","0.18997430628740308","6681881.799999997","8.408","30.631","0.86616414634696071","104760.90732404162","True","af-unix-s64-native.json"
"udp-loopback","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"18.978955428571428","18.3896126","17.204640485714286","19.267353771428574","17.004916714285713","19.416839428571432","0.9519338875910498","13285268.8","15.741","234.41099999999997","8.89248949710713","52689.938798980111","True","udp-loopback-s64-native.json"
"mailslot","rust","64","5000","200","5","5","True","median_average_micros","completed","0",,"9.81328","9.7874039999999987","9.7187768","9.830572","9.66186","9.837404","0.063710415500135842","245332.00000000003","8.574","14.72","0.4625293167962431","101902.72773221592","True","mailslot-s64-native.json"
"rpc","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"18.356214999999995","18.426137085714281","18.064628057142855","18.796867114285714","17.893947714285716","18.864587285714283","0.3358340748400826","12849350.499999996","12.348999999999998","331.78899999999993","12.370663517321278","54477.461720730571","True","rpc-s64-native.json"
"alpc","rust","64","100000","10000","7","5","True","median_average_micros","completed","0",,"8.8544859999999943","9.544871428571426","8.807743314285716","10.807524457142852","8.7922031428571437","11.544393428571423","1.0559852875483251","6198140.1999999955","6.8389999999999995","47.784000000000006","0.74467206307090994","112937.1032943076","True","alpc-s64-native.json"
