"method","language","message_size","message_count","warmup_count","trials","launch_count","stable_affinity","representative_metric","status","exit_code","error","average_micros","mean_average_micros","p10_average_micros","p90_average_micros","min_average_micros","max_average_micros","launch_stddev_average_micros","total_micros","min_micros","max_micros","stddev_micros","message_rate","child_ready","output"
"copy-roundtrip","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"0.0206333333333333","0.020439999999999962","0.020039999999999961","0.020653333333333298","0.019666666666666627","0.020666666666666628","0.00038724095283887037","61.899999999999892","0.019999999999999997","0.03","0.0024356153682842082","48465266.55896616","False","copy-roundtrip-s64-native.json"
"anon-pipe","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"21.0577","20.987779999999997","19.813493333333334","22.259539999999998","19.648466666666664","22.954299999999996","1.1469467860561111","63173.100000000006","18.43","38.18","2.2117375620388","47488.567127464055","False","anon-pipe-s64-native.json"
"named-pipe-byte-sync","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"8.8863666666666656","9.1824266666666663","8.7118999999999982","9.9037733333333335","8.66343333333333","10.3634","0.6182212726488443","26659.099999999995","8.15","16.13","0.85913377305283567","112531.93093540294","True","named-pipe-byte-sync-s64-native.json"
"named-pipe-message-sync","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"8.898533333333333","8.9519266666666688","8.82282666666667","9.129293333333333","8.79486666666667","9.2435333333333354","0.15503940488361886","26695.6","8.15","15.64","0.77719987705151428","112378.06979427319","True","named-pipe-message-sync-s64-native.json"
"named-pipe-overlapped","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"9.8529666666666689","9.9776533333333326","9.7086933333333327","10.31894","9.6597333333333335","10.407833333333334","0.27681929492801677","29558.900000000005","8.95","18.23","1.0299300817693078","101492.27474635388","True","named-pipe-overlapped-s64-native.json"
"tcp-loopback","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"18.329633333333337","18.381926666666669","17.888440000000003","18.914553333333334","17.814933333333336","19.040033333333337","0.45228288659986948","54988.900000000009","16.759999999999998","32.9","1.4967235249036477","54556.465032033731","True","tcp-loopback-s64-native.json"
"shm-events","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"8.2202000000000019","8.0210400000000011","7.4176933333333332","8.5451533333333334","7.3415999999999988","8.702633333333333","0.507558592742421","24660.600000000009","6.7399999999999993","24.640000000000004","1.4419375714641742","121651.54132502856","True","shm-events-s64-native.json"
"shm-semaphores","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"7.7063333333333306","7.748926666666665","7.4561666666666664","8.10738","7.422299999999999","8.3188333333333322","0.31417858290398382","23118.999999999993","6.75","22.24","1.2554122027799826","129763.39807085085","True","shm-semaphores-s64-native.json"
"shm-mailbox-spin","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"0.12873333333333331","0.12469333333333329","0.11500666666666663","0.13198666666666667","0.11283333333333329","0.13266666666666663","0.0077615977736546111","386.19999999999993","0.09","0.9","0.047075105475777305","7767995.8570688767","True","shm-mailbox-spin-s64-native.json"
"shm-mailbox-hybrid","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"0.31473333333333303","0.30375999999999975","0.2647266666666665","0.33961999999999981","0.26423333333333321","0.34936666666666649","0.033705359943025211","944.19999999999925","0.25","1.32","0.065901441562381646","3177292.9464096618","True","shm-mailbox-hybrid-s64-native.json"
"shm-ring-spin","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"0.17476666666666665","0.1780933333333333","0.16588666666666654","0.19302666666666668","0.16049999999999989","0.20266666666666672","0.013723660023639681","524.3","0.15","0.5","0.023339880033967624","5721914.9341979781","True","shm-ring-spin-s64-native.json"
"shm-ring-hybrid","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"0.308666666666667","0.33008666666666692","0.289426666666667","0.38220666666666675","0.28586666666666694","0.38876666666666665","0.042172664132112764","926.0000000000008","0.27","2.12","0.11461917621216566","3239740.8207343379","True","shm-ring-hybrid-s64-native.json"
"shm-raw-sync-event","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"8.1560333333333368","8.0957666666666661","7.6447","8.5346133333333327","7.5369666666666673","8.7139999999999986","0.40266950164564869","24468.100000000009","6.7600000000000007","53.470000000000006","3.0215672421590907","122608.62102083932","True","shm-raw-sync-event-s64-native.json"
"shm-raw-sync-busy","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"0.15270000000000009","0.15281333333333341","0.14799333333333337","0.15809333333333339","0.14770000000000005","0.16","0.0045353720905786724","458.10000000000025","0.12","1.1800000000000002","0.061479346125345245","6548788.4741322817","True","shm-raw-sync-busy-s64-native.json"
"iceoryx2-publish-subscribe-loan","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"2.1116333333333333","2.09706","2.052446666666667","2.1376666666666662","2.0519000000000003","2.1513333333333335","0.038780243538287386","6334.9","1.98","3.54","0.21353389270402345","473567.06498918694","True","iceoryx2-publish-subscribe-loan-s64-native.json"
"iceoryx2-request-response-loan","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"2.3077","2.30854","2.244346666666666","2.3754600000000003","2.2317999999999993","2.3972333333333338","0.058290183659953865","6923.1","2.12","7.23","0.39371432819015134","433331.8888937037","True","iceoryx2-request-response-loan-s64-native.json"
"af-unix","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"9.9616000000000042","10.203413333333335","9.840213333333331","10.700600000000001","9.7860666666666631","10.807066666666667","0.39760765731504288","29884.80000000001","9.01","17.6","0.975176366384848","100385.48024413743","True","af-unix-s64-native.json"
"udp-loopback","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"18.009466666666661","18.200613333333337","17.644093333333338","18.883960000000002","17.640733333333337","19.012333333333338","0.55747533820888484","54028.39999999998","16.119999999999997","43.760000000000005","3.4801200720026246","55526.352807042247","True","udp-loopback-s64-native.json"
"mailslot","rust","64","1000","100","3","5","True","median_average_micros","completed","0",,"9.1800666666666686","9.2689133333333338","8.8604866666666684","9.771986666666665","8.7158333333333342","10.117533333333332","0.46278102986185521","27540.200000000004","7.63","27.46","1.6200215705011114","108931.67079396662","True","mailslot-s64-native.json"
